Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Aceh,0.5276752767527674,0.6415410385259632,0.11938663745892697,0.028629856850716173
Sumatera Utara,0.4354243542435424,0.6398659966499163,0.4644030668127055,0.4396728016359921
Sumatera Barat,0.5645756457564576,0.6599664991624792,0.33023001095290283,0.4239945466939332
Riau,0.23800738007380084,0.34003350083752093,0.2196056955093102,0.05316973415132953
Jambi,0.2933579335793358,0.37688442211055273,0.3773274917853233,0.32447171097477856
Sumatera Selatan,0.30073800738007384,0.3835845896147404,0.40306681270536693,0.42467620995228383
Bengkulu,0.05166051660516602,0.20938023450586263,0.5213581599123764,0.4587593728698023
Lampung,0.2214022140221401,0.36515912897822445,0.5772179627601317,0.4758009543285615
Kepulauan Bangka Belitung,0.1974169741697417,0.40703517587939697,0.44852135815991234,0.2931152010906608
Kepulauan Riau,0.9059040590405903,0.9865996649916249,0.24698795180722932,0.39945466939331986
DKI Jakarta,0.9022140221402214,0.8107202680067,0.016429353778751654,0.0
Jawa Barat,0.9667896678966789,1.0,0.23767798466593693,0.2092706203135659
Jawa Tengah,0.48708487084870844,0.5410385259631492,0.5514786418400881,0.528970688479891
DI Yogyakarta,0.11439114391143912,0.28810720268006695,0.6960569550930997,0.6489434219495562
Jawa Timur,0.3136531365313653,0.5276381909547739,0.49397590361445776,0.5555555555555562
Banten,0.9999999999999999,0.9631490787269681,0.17031763417305612,0.11179277436946133
Bali,0.3191881918819188,0.4120603015075377,0.8307776560788613,0.9393319700068163
Nusa Tenggara Barat,0.14944649446494462,0.09212730318257961,0.453450164293538,0.5351056578050448
Nusa Tenggara Timur,0.035055350553505504,0.20100502512562812,0.6401971522453445,0.8282208588957056
Kalimantan Barat,0.3228782287822879,0.4639865996649917,0.4255202628696604,0.4014996591683708
Kalimantan Tengah,0.20110701107011075,0.321608040201005,0.2721796276013144,0.282890252215406
Kalimantan Selatan,0.20110701107011075,0.40201005025125636,0.42004381161007665,0.30470347648261775
Kalimantan Timur,0.6752767527675275,0.5644891122278057,0.23274917853231125,0.11247443762781195
Kalimantan Utara,0.2785977859778598,0.33333333333333337,0.13964950711938684,0.3094751192910703
Sulawesi Utara,0.6273062730627307,0.7152428810720268,0.0,0.0
Sulawesi Tengah,0.10332103321033204,0.11055276381909551,0.48685651697699894,0.47102931152010896
Sulawesi Selatan,0.48708487084870844,0.3634840871021775,0.21248630887185094,0.21131561008861688
Sulawesi Tenggara,0.13837638376383765,0.17085427135678388,0.23767798466593693,0.3912747102931151
Gorontalo,0.02583025830258301,0.04020100502512569,0.31818181818181834,0.397409679618268
Sulawesi Barat,0.0,0.0,0.3795180722891569,0.6762099522835721
Maluku,0.6143911439114392,0.760469011725293,0.060788608981380055,0.16223585548738928
Maluku Utara,0.34501845018450195,0.27470686767169183,0.25958378970427143,0.12269938650306766
Papua Barat,0.492619926199262,0.507537688442211,0.417305585980285,0.37286980231765465
Papua,0.09040590405904059,0.08207705192629822,1.0000000000000004,1.0
Indonesia,0.5018450184501845,0.5896147403685092,0.3882803943044908,0.3783231083844578
